category_id,category_name,provision_id,title,description,impacts,long_range_effect_raw,year_75_effect_raw,long_range_shortfall_pct,year_75_shortfall_pct,long_range_effect,year_75_effect,graph_link,table_link,Column1,Column2,Column3,Column4,Column5,Column6
coverage,Coverage of Employment,F1,"Cover newly hired State and local government employees","Starting in 2025, cover newly hired State and local government employees.","Expands coverage to additional workers; Increases system revenue; Long-range effect: 0.15% of payroll; 75th year effect: -0.17% of payroll",0.15,-0.17,4,-4,"Long-range effect: 0.15% of payroll","75th year effect: -0.17% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run231.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run231.html",,,,,,
coverage,Coverage of Employment,F2,"Exempt individuals with more than 180 quarters of coverage","Starting in 2025, exempt individuals with more than 180 quarters of coverage from the OASDI payroll tax. Earnings exempted from OASDI payroll tax would not be used in computing benefits.","Reduces tax burden on long-term workers; Decreases system revenue; Long-range effect: -0.81% of payroll; 75th year effect: -1.02% of payroll",-0.81,-1.02,-23,-22,"Long-range effect: -0.81% of payroll","75th year effect: -1.02% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run232.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run232.html",,,,,,
coverage,Coverage of Employment,F3,"Tax employer-sponsored health insurance premiums","Expand covered earnings to include employer and employee premiums for employer-sponsored group health insurance (ESI). Starting in 2028, phase out the OASDI payroll tax exclusion for ESI premiums, fully eliminating the exclusion by 2038.","Broadens the tax base to include healthcare benefits; Long-range effect: 1.10% of payroll; 75th year effect: 0.75% of payroll",1.10,0.75,31,16,"Long-range effect: 1.10% of payroll","75th year effect: 0.75% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run233.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run233.html",,,,,,
coverage,Coverage of Employment,F4,"Tax salary reduction contributions","Expand covered earnings to include contributions to voluntary salary reduction plans (such as Cafeteria 125 plans and Flexible Spending Accounts), starting in 2025.","Treats flexible spending contributions like 401(k) contributions; Long-range effect: 0.34% of payroll; 75th year effect: 0.22% of payroll",0.34,0.22,10,5,"Long-range effect: 0.34% of payroll","75th year effect: 0.22% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run234.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run234.html",,,,,,
coverage,Coverage of Employment,F6,"Apply 6.2% tax on investment income","Apply a separate 6.2 percent tax on investment income as defined in the Affordable Care Act (ACA), with unindexed thresholds as in the ACA ($200,000 for single filer, $250,000 for married filing jointly), starting in 2026.","Expands revenue sources beyond payroll; Targets investment income; Long-range effect: 0.67% of payroll; 75th year effect: 0.80% of payroll",0.67,0.80,19,17,"Long-range effect: 0.67% of payroll","75th year effect: 0.80% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run236.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run236.html",,,,,,
coverage,Coverage of Employment,F7,"Redirect estate tax to OASDI Trust Funds","For the estate tax, gift tax, and generation skipping transfer (GST) tax, return to 2009 levels ($3.5 million threshold for estate tax with a top 45% tax rate) for deaths and gifts after 2024, with proceeds going to the OASI and DI Trust Funds.","Uses estate tax revenue to fund Social Security; Long-range effect: 0.61% of payroll; 75th year effect: 0.77% of payroll",0.61,0.77,17,17,"Long-range effect: 0.61% of payroll","75th year effect: 0.77% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run237.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run237.html",,,,,,
coverage,Coverage of Employment,F8,"Apply 12.4% tax on investment income","Apply a separate 12.4 percent tax on investment income as defined in the Affordable Care Act (ACA), with unindexed thresholds as in the ACA ($200,000 single filer, $250,000 for married filing joint), starting in 2026.","Significantly expands revenue sources to investment income; Long-range effect: 0.93% of payroll; 75th year effect: 1.00% of payroll",0.93,1.00,27,22,"Long-range effect: 0.93% of payroll","75th year effect: 1.00% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run238.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run238.html",,,,,,
coverage,Coverage of Employment,F9,"Apply 16.2% tax on S-corporation officers and limited partners","For active S-corporation officers and limited partners, apply a 16.2 percent tax on investment income as defined in the ACA, with unindexed thresholds as in the ACA ($200,000 single filer, $250,000 for married filing joint), starting in 2025.","Targets S-corporation income often used to avoid payroll taxes; Long-range effect: 1.31% of payroll; 75th year effect: 1.56% of payroll",1.31,1.56,38,34,"Long-range effect: 1.31% of payroll","75th year effect: 1.56% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run239.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run239.html",,,,,,
coverage,Coverage of Employment,F10,"Apply 12.4% tax on expanded net investment income","Expand the tax on net investment income (NII) as defined in the Affordable Care Act (ACA) to cover earnings from active S corporation holders and active limited partners. Apply a 12.4-percent tax with thresholds of $400,000 for a single filer and $500,000 for married couples.","Comprehensive approach to investment income taxation; Long-range effect: 1.80% of payroll; 75th year effect: 2.19% of payroll",1.80,2.19,52,47,"Long-range effect: 1.80% of payroll","75th year effect: 2.19% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run240.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run240.html",,,,,,
coverage,Coverage of Employment,F11,"Apply 12.4% tax on net investment income above $400,000","Apply a separate 12.4-percent tax on net investment income (NII), as defined in the Affordable Care Act (ACA), with an unindexed threshold of $400,000, effective 2026 and later. Single threshold regardless of tax filing status.","Targets high-income investment earnings; Long-range effect: 1.21% of payroll; 75th year effect: 1.53% of payroll",1.21,1.53,34,33,"Long-range effect: 1.21% of payroll","75th year effect: 1.53% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run241.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run241.html",,,,,,
